Collection_ID,Color_Name,Color_Code,Image_URL,preview_image_url,,,,,,,,,,,,,,,,,,,,,
roller-misticbo,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/misticblackout_white.png?v=1780406413,,,,,,,,,,,,,,,,,,,,,,
roller-shanelbo,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/Shanelbo_blanc_01.png?v=1780584848,,,,,,,,,,,,,,,,,,,,,,
roller-shanelbo,beige,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/Shanelbo_beige_02.png?v=1780584848,,,,,,,,,,,,,,,,,,,,,,
roller-shanelbo,grey,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/Shanelbo_gris_04.png?v=1780584846,,,,,,,,,,,,,,,,,,,,,,
roller-shanelbo,brown,5,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/Shanelbo_brun_05.png?v=1780584845,,,,,,,,,,,,,,,,,,,,,,
roller-shanelbo,black,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/Shanelbo_noire_05.png?v=1780584847,,,,,,,,,,,,,,,,,,,,,,
solars-baris,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/baris_-_white.png?v=1780585023,,,,,,,,,,,,,,,,,,,,,,
solars-baris,cream,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/baris_-_creme.png?v=1780585023,,,,,,,,,,,,,,,,,,,,,,
solars-baris,light grey,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/baris_gris_pale.png?v=1780585023,,,,,,,,,,,,,,,,,,,,,,
solars-baris,black,14,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/baris_14_noire.png?v=1780585024,,,,,,,,,,,,,,,,,,,,,,
solars-baris,charcoal,16,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/baris_charbon.png?v=1780585023,,,,,,,,,,,,,,,,,,,,,,
solars-baris,bronze,17,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/baris_17_bronze.png?v=1780585023,,,,,,,,,,,,,,,,,,,,,,
solars-baris,sand,18,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/baris_18_sable.png?v=1780585023,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_1_blanc.png?v=1780587093,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,almond,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_02_amande.png?v=1780587091,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,beige,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_3_beige.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,granite,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_4_granite.png?v=1780587094,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,snow white,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_6_blanc-noire.png?v=1780587092,,,,,,,,,,,,,,,,,,,,,,
solars-mistic1,sand,7,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/mistic_7_sable.png?v=1780587095,,,,,,,,,,,,,,,,,,,,,,
