#GROUP:PG1,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,,,,
24,212,222,233,243,253,264,274,284,294,305,325,336,347,385,398,411,423,436,448,461,474,,,,
30,215,226,237,248,260,271,282,293,304,315,336,348,360,399,412,425,439,452,466,479,492,,,,
36,218,230,242,254,266,278,289,301,313,325,347,360,372,412,426,440,454,469,483,497,511,,,,
42,222,235,247,260,272,285,298,310,323,336,359,372,385,426,441,456,471,485,500,515,530,,,,
48,225,238,252,265,279,292,306,319,332,346,370,384,398,439,455,470,486,502,518,533,549,,,,
54,228,242,257,271,285,299,313,328,342,356,381,395,410,452,469,485,502,518,535,551,568,,,,
60,232,247,262,277,292,307,322,337,352,367,392,408,423,466,483,501,518,535,552,570,587,,,,
66,235,251,266,282,298,314,329,345,361,377,403,419,436,479,497,515,533,552,570,588,606,,,,
72,238,255,271,288,304,321,338,354,371,387,414,431,449,493,512,531,549,568,587,606,625,,,,
78,242,259,277,294,311,329,346,363,381,398,426,444,462,507,526,546,566,585,605,624,644,,,,
84,245,263,281,299,317,336,354,372,390,408,436,455,474,520,540,561,581,602,622,642,663,,,,
90,249,268,286,305,324,343,362,381,400,419,448,468,487,534,555,576,597,618,640,661,682,,,,
96,252,271,291,311,330,350,370,389,409,429,459,479,500,547,569,591,613,635,657,679,701,,,,
102,255,275,296,316,337,357,378,398,419,439,470,491,512,560,583,606,629,651,674,697,720,,,,
108,262,284,305,327,349,371,393,415,437,459,481,503,525,574,598,621,645,668,692,715,739,,,,
114,265,287,310,333,356,378,401,424,447,469,492,515,563,587,612,636,660,685,709,733,758,,,,
120,268,291,315,338,362,385,409,433,456,480,503,550,575,601,626,651,676,701,726,751,776,,,,
126,272,296,320,345,369,393,417,442,466,490,515,563,589,615,640,666,692,718,744,770,796,,,,
132,275,300,325,350,375,400,425,450,475,501,526,574,601,628,654,681,708,734,761,788,814,,,,
138,278,304,330,355,381,407,433,459,485,511,537,586,614,641,669,696,723,751,778,806,833,,,,
144,281,308,334,361,388,414,441,468,494,521,547,598,626,654,683,711,739,767,796,824,852,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#TARGET:misticbo,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,,,,
24,232,249,265,281,297,313,329,346,362,378,404,421,438,481,500,518,537,555,574,592,611,,,,
30,239,257,275,293,311,329,347,365,383,401,429,448,467,512,532,552,572,593,613,633,653,,,,
36,247,266,286,306,326,345,365,385,405,424,454,475,495,542,564,586,608,630,652,674,696,,,,
42,254,276,297,319,340,362,383,405,426,448,480,502,524,573,597,620,644,668,692,716,739,,,,
48,261,285,308,331,354,378,401,424,448,471,505,529,553,603,629,654,680,705,731,757,782,,,,
54,268,293,319,344,369,394,419,444,469,494,529,555,581,633,661,688,715,743,770,797,825,,,,
60,276,303,330,357,383,410,437,464,491,518,555,582,610,664,693,722,751,781,810,839,868,,,,
66,283,312,340,369,398,426,455,484,512,541,580,609,639,694,725,756,787,818,849,880,911,,,,
72,291,321,351,382,412,443,473,504,534,564,605,636,667,725,758,790,823,856,888,921,954,,,,
78,298,330,363,395,427,459,491,524,556,588,630,663,696,756,790,825,859,894,928,963,997,,,,
84,305,339,373,407,441,475,509,543,577,611,655,690,725,786,822,858,895,931,967,1004,1040,,,,
90,313,349,384,420,456,492,528,563,599,635,681,717,754,817,855,893,931,969,1007,1045,1083,,,,
96,320,358,395,433,470,508,545,583,621,658,706,744,782,847,887,927,967,1006,1046,1086,1126,,,,
102,327,366,406,445,485,524,563,603,642,681,731,771,811,877,919,961,1002,1044,1085,1127,1169,,,,
108,338,380,421,463,505,547,589,631,672,714,756,798,840,908,951,995,1038,1082,1125,1168,1212,,,,
114,345,388,432,476,519,563,607,650,694,737,781,825,893,938,984,1029,1074,1119,1164,1209,1255,,,,
120,352,397,443,488,534,579,624,670,715,761,806,875,922,969,1016,1063,1110,1156,1203,1250,1297,,,,
126,360,407,454,501,548,596,643,690,737,784,832,902,951,1000,1048,1097,1146,1195,1243,1292,1341,,,,
132,367,416,465,514,563,612,661,710,759,808,857,929,979,1030,1080,1131,1181,1232,1282,1333,1384,,,,
138,374,425,475,526,577,628,678,729,780,831,882,956,1008,1060,1112,1165,1217,1269,1322,1374,1426,,,,
144,381,434,486,539,591,644,696,749,801,854,906,982,1036,1090,1144,1199,1253,1307,1361,1415,1469,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#GROUP:PG2,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,,,,
24,221,233,246,258,271,283,296,308,321,333,356,369,382,422,437,452,467,482,496,511,526,,,,
30,226,240,253,267,281,295,308,322,336,350,374,388,403,444,460,476,492,508,525,541,557,,,,
36,231,246,261,276,291,306,321,336,351,366,392,407,423,466,483,501,518,535,553,570,587,,,,
42,237,253,269,286,302,318,334,351,367,383,410,427,444,488,507,525,544,563,581,600,619,,,,
48,242,259,277,295,312,330,347,365,382,400,428,446,465,510,530,550,570,590,609,629,649,,,,
54,247,266,285,303,322,341,360,379,398,417,446,466,485,532,553,574,595,616,638,659,680,,,,
60,252,273,293,313,333,353,373,393,414,434,464,485,506,554,576,599,621,644,666,689,711,,,,
66,258,279,300,322,343,365,386,408,429,450,482,504,527,576,599,623,647,671,694,718,742,,,,
72,263,286,308,331,354,377,399,422,445,467,500,524,547,598,623,648,673,698,723,748,773,,,,
78,269,293,317,341,365,389,413,437,461,485,519,544,568,620,646,673,699,725,752,778,804,,,,
84,274,299,324,350,375,400,425,451,476,501,537,563,589,642,669,697,724,752,780,807,835,,,,
90,279,306,332,359,386,412,439,465,492,518,555,582,610,664,693,722,751,779,808,837,866,,,,
96,284,312,340,368,396,424,451,479,507,535,573,602,630,686,716,746,776,806,836,867,897,,,,
102,290,319,348,377,406,435,464,493,522,552,591,621,651,707,739,770,802,833,865,896,927,,,,
108,298,329,360,392,423,454,485,516,547,578,609,641,672,730,762,795,828,861,893,926,959,,,,
114,303,336,368,401,433,465,498,530,563,595,627,660,718,751,785,819,853,887,921,955,989,,,,
120,308,342,376,409,443,477,511,544,578,612,645,703,738,773,809,844,879,914,950,985,1020,,,,
126,314,349,384,419,454,489,524,559,594,629,664,723,759,796,832,869,905,942,978,1015,1052,,,,
132,319,356,392,428,464,501,537,573,609,646,682,742,780,817,855,893,931,969,1007,1044,1082,,,,
138,324,362,400,437,475,512,550,587,625,662,700,761,800,839,878,917,957,996,1035,1074,1113,,,,
144,330,368,407,446,485,524,562,601,640,679,718,780,821,861,901,942,982,1023,1063,1103,1144,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#GROUP:PG3,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,,,,
24,211,220,228,236,245,253,261,270,278,287,306,315,324,361,372,383,393,404,415,426,437,,,,
30,213,222,231,240,249,258,267,276,285,294,314,323,333,371,382,393,405,416,428,439,450,,,,
36,216,225,235,244,254,263,273,282,292,301,322,332,342,380,392,404,416,428,440,452,464,,,,
42,218,228,239,249,259,269,279,289,299,309,330,341,352,390,403,415,428,440,453,465,478,,,,
48,221,231,242,253,263,274,285,295,306,316,338,349,361,400,413,426,439,452,465,478,491,,,,
54,223,234,245,257,268,279,290,301,313,324,346,358,370,410,423,437,451,464,478,491,505,,,,
60,226,237,249,261,273,285,296,308,320,332,354,367,379,420,434,448,462,477,491,505,519,,,,
66,228,240,253,265,277,290,302,314,327,339,362,375,388,429,444,459,474,488,503,518,533,,,,
72,231,243,256,269,282,295,308,321,334,347,370,384,398,439,455,470,485,501,516,531,547,,,,
78,233,247,260,274,287,301,314,328,341,355,379,393,407,450,465,481,497,513,529,545,561,,,,
84,236,250,264,278,292,306,320,334,348,362,387,402,416,459,476,492,509,525,541,558,574,,,,
90,238,253,268,282,297,311,326,341,355,370,395,411,426,469,486,503,520,537,554,571,588,,,,
96,241,256,271,286,301,317,332,347,362,377,403,419,435,479,497,514,532,549,567,584,602,,,,
102,243,259,274,290,306,322,337,353,369,385,411,428,444,489,507,525,543,561,579,598,616,,,,
108,249,266,283,300,317,334,351,368,385,403,420,437,454,499,517,536,555,574,592,611,630,,,,
114,251,269,286,304,322,339,357,375,392,410,428,445,489,508,528,547,566,586,605,624,643,,,,
120,253,272,290,308,326,344,363,381,399,417,435,478,498,518,538,558,578,597,617,637,657,,,,
126,256,275,294,313,331,350,369,388,407,425,444,487,508,528,549,569,590,610,630,651,671,,,,
132,259,278,297,317,336,355,375,394,413,433,452,496,517,538,559,580,601,622,643,664,685,,,,
138,261,281,301,321,340,360,380,400,420,440,460,504,526,548,569,591,612,634,655,677,698,,,,
144,263,284,304,325,345,365,386,406,427,447,468,513,535,557,579,601,624,646,668,690,712,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#TARGET:mistic5alu,,,,,,,,,,,,,,,,,,,,,,,,,
,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,,,,
24,247,264,280,297,313,329,346,362,379,395,411,428,444,461,477,493,510,526,543,559,575,,,,
30,256,275,294,312,331,350,368,387,406,424,443,462,480,499,518,536,555,574,592,611,629,,,,
36,265,286,307,328,349,370,391,412,433,454,474,495,516,537,558,579,600,621,642,663,684,,,,
42,275,298,321,344,367,391,414,437,460,483,506,530,553,576,599,622,645,669,692,715,738,,,,
48,284,309,335,360,386,411,436,462,487,513,538,563,589,614,640,665,690,716,741,767,792,,,,
54,293,321,348,376,404,431,459,487,514,542,570,597,625,653,680,708,736,763,791,819,846,,,,
60,302,332,362,392,422,452,482,512,542,572,602,631,661,691,721,751,781,811,841,871,901,,,,
66,311,343,376,408,440,472,504,537,569,601,633,665,697,730,762,794,826,858,890,923,955,,,,
72,321,355,390,424,458,493,527,562,596,631,665,699,734,768,803,837,872,906,940,975,1009,,,,
78,330,367,404,440,477,514,550,587,624,660,697,734,770,807,844,880,917,954,990,1027,1064,,,,
84,339,378,417,456,495,534,573,612,651,690,729,768,806,845,884,923,962,1001,1040,1079,1118,,,,
90,349,390,431,472,513,555,596,637,678,719,761,802,843,884,925,967,1008,1049,1090,1131,1172,,,,
96,358,401,445,488,532,575,618,662,705,749,792,836,879,922,966,1009,1053,1096,1140,1183,1227,,,,
102,367,412,458,504,550,595,641,687,732,778,824,869,915,961,1006,1052,1098,1144,1189,1235,1281,,,,
108,376,424,472,520,568,616,664,712,760,808,856,904,952,1000,1048,1096,1143,1191,1239,1287,1335,,,,
114,385,436,486,536,586,636,687,737,787,837,887,938,988,1038,1088,1138,1189,1239,1289,1339,1389,,,,
120,394,447,499,552,604,657,709,761,814,866,919,971,1024,1076,1129,1181,1234,1286,1338,1391,1443,,,,
126,404,459,513,568,623,678,732,787,842,896,951,1006,1060,1115,1170,1225,1279,1334,1389,1443,1498,,,,
132,413,470,527,584,641,698,755,812,869,926,983,1040,1097,1153,1210,1267,1324,1381,1438,1495,1552,,,,
138,422,481,540,600,659,718,777,837,896,955,1014,1073,1133,1192,1251,1310,1369,1429,1488,1547,1606,,,,
